ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10232485,HY420319,09/11/2015 03:00:00 AM,028XX N MOZART ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1411,014,35,21,14,1156890,1918661,2015,09/24/2015 07:50:13 PM,41.93258055,-87.698860896,"(41.93258055, -87.698860896)"
10232486,HY420280,09/12/2015 05:00:00 AM,078XX S PRAIRIE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,true,0623,006,6,69,14,1179388,1853187,2015,02/10/2018 03:50:01 PM,41.752428735,-87.618187424,"(41.752428735, -87.618187424)"
10232487,HY420275,09/11/2015 06:20:00 PM,009XX W ADDISON ST,0870,THEFT,POCKET-PICKING,CTA TRAIN,false,false,1923,019,44,6,06,1169188,1924102,2015,02/10/2018 03:50:01 PM,41.947252263,-87.65350869,"(41.947252263, -87.65350869)"
10232488,HY420327,09/05/2015 12:00:00 PM,009XX W CORNELIA AVE,0820,THEFT,$500 AND UNDER,RESIDENTIAL YARD (FRONT/BACK),false,false,1924,019,44,6,06,1169214,1923432,2015,02/10/2018 03:50:01 PM,41.94541319,-87.653432657,"(41.94541319, -87.653432657)"
10232490,HY420287,09/12/2015 12:15:00 AM,011XX S FRANCISCO AVE,0460,BATTERY,SIMPLE,RESIDENTIAL YARD (FRONT/BACK),false,false,1135,011,28,29,08B,1157199,1894911,2015,09/24/2015 07:50:13 PM,41.867402197,-87.698371332,"(41.867402197, -87.698371332)"
10232491,HY420351,09/11/2015 09:45:00 PM,064XX N ROCKWELL ST,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,APARTMENT,false,false,2412,024,50,2,14,1157818,1942721,2015,02/10/2018 03:50:01 PM,41.9985836,-87.694791649,"(41.9985836, -87.694791649)"
10232492,HY420306,09/12/2015 10:00:00 AM,062XX S SACRAMENTO AVE,0460,BATTERY,SIMPLE,SIDEWALK,false,false,0823,008,15,66,08B,1157453,1863177,2015,02/10/2018 03:50:01 PM,41.780315017,-87.698299937,"(41.780315017, -87.698299937)"
10232493,HY420323,09/11/2015 12:30:00 PM,054XX N DAMEN AVE,0820,THEFT,$500 AND UNDER,CAR WASH,false,false,2012,020,40,4,06,1162003,1936563,2015,02/10/2018 03:50:01 PM,41.981599167,-87.679569285,"(41.981599167, -87.679569285)"
10232494,HY420309,09/12/2015 03:50:00 AM,020XX N HALSTED ST,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,BAR OR TAVERN,false,false,1812,018,43,7,11,1170624,1913751,2015,02/10/2018 03:50:01 PM,41.918817288,-87.648534275,"(41.918817288, -87.648534275)"
10232495,HY420331,09/12/2015 10:59:00 AM,004XX N LARAMIE AVE,2024,NARCOTICS,POSS: HEROIN(WHITE),ALLEY,true,false,1523,015,28,25,18,1141627,1902396,2015,02/10/2018 03:50:01 PM,41.888243828,-87.755354113,"(41.888243828, -87.755354113)"
10232497,HY420330,09/12/2015 10:50:00 AM,009XX N PULASKI RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,true,false,1112,011,27,23,18,1149554,1905881,2015,02/10/2018 03:50:01 PM,41.89765683,-87.726152565,"(41.89765683, -87.726152565)"
