price,year,condition,cylinders,odometer,title_status,transmission,engine_size,hp,  diesel,  electric,  gas,  hybrid,  SUV,  coupe,  hatchback,  offroad,  pickup,  sedan,  black,  blue,  brown,  custom,  green,  grey,  orange,  purple,  red,  silver,  white,  yellow
7.27931883541462,2004,1,4.0,336.1547262794322,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
7.600902459542082,2004,1,4.0,385.8095385031324,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8.516192691082654,2004,1,4.0,370.4726710568541,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8.612503371220562,2005,1,4.0,275.69911135148766,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
8.698681067461614,2006,1,4.0,302.1373859687013,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8.565983355585669,2006,1,4.0,353.0141640217854,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.086410275323782,2006,1,4.0,366.0601043544625,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.15908865466791,2006,1,4.0,335.7543745061261,3,1,1.8,129,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8.45531778769815,2008,1,4.0,286.1503101518501,3,1,2.0,140,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.546751993657782,2008,1,4.0,346.58043799383717,3,1,2.0,140,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
7.166265974133638,2008,1,4.0,333.16662497915365,3,0,2.0,140,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
8.612503371220562,2011,2,4.0,265.3563641595958,3,1,2.0,140,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.85352256068954,2011,2,4.0,296.4860873633028,3,1,2.0,140,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
8.986946789406764,2011,2,4.0,269.7202254188588,3,1,2.0,140,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.922258219503062,2011,2,4.0,278.16002588438187,3,1,2.0,140,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
8.7787879291047,2013,2,4.0,258.4569596664017,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9.189627330378642,2013,2,4.0,158.8238017426859,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.20029003612268,2013,2,4.0,264.3369062389889,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
8.935245415029874,2014,2,4.0,208.95932618574363,2,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.305195902988862,2015,2,4.0,224.1182723474371,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.679593719831214,2016,2,4.0,142.72701215957684,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.392245175273795,2016,2,4.0,185.30515373297095,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.424564261115739,2016,2,4.0,155.25785004308156,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.383873422737057,2016,2,4.0,188.56298682403184,2,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.464982590349763,2017,2,4.0,185.33213428868723,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.61547209118311,2017,2,4.0,117.34138229968147,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.305559638557117,2017,2,4.0,192.99481858329773,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.679781342959442,2017,2,4.0,87.82368700982668,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9.60750445504496,2017,2,4.0,179.03072362027697,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.586170674954657,2017,2,4.0,182.53218894211508,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
9.723104116372433,2017,2,4.0,192.70703152713446,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.679593719831214,2017,2,4.0,161.15520469410848,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.349667437197281,2017,2,4.0,164.3745722427894,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.61547209118311,2017,2,4.0,159.80300372646317,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.546455401949554,2017,2,4.0,190.530837399094,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.576579433583511,2017,2,4.0,183.714452343848,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.104424146384634,2017,2,4.0,192.99222782278048,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.205327830152639,2017,2,4.0,167.28120037828518,2,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.305650551780507,2017,2,4.0,129.4295174989075,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.614604759507829,2017,2,4.0,143.63495396316316,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.516942329280475,2017,2,4.0,124.05240827972668,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.61573881119536,2017,2,4.0,165.0696822557068,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
9.79784922051313,2018,2,4.0,137.85499628232557,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9.851562479671209,2018,2,4.0,91.68424073961675,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.728538750071586,2018,2,4.0,106.14612569472331,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
9.615672137861335,2018,2,4.0,141.58389738949836,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.508071780280964,2018,2,4.0,144.38143925034132,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.543808099577097,2018,2,4.0,151.58495967608397,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.517678002086406,2018,2,4.0,156.49600633882002,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
9.615138591096644,2018,2,4.0,155.67915724335097,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
9.734003244543665,2018,2,4.0,154.51860729374957,3,1,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
9.903437551286085,2018,2,4.0,150.89068891088013,3,0,1.8,130,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
