Rec	Cyc	Step	TestTime	StepTime	Amphr	Watthr	Amps	Volts	State	ACImpOhms
122	1	5	0d 01:59:0.00999999977648258	0d 01:58:0.00999999977648258	0.00098	0.00405	0.00050	4.09560	D	2.26676
123	1	5	0d 02:00:0.00999999977648258	0d 01:59:0.00999999977648258	0.00099	0.00408	0.00050	4.09552	D	2.26676
124	1	5	0d 02:01:0.00999999977648258	0d 02:00:0.00999999977648258	0.00100	0.00412	0.00050	4.09483	D	2.26676
125	1	5	0d 02:02:0.00999999977648258	0d 02:01:0.00999999977648258	0.00101	0.00415	0.00050	4.09461	D	2.26676
126	1	5	0d 02:03:0.00999999977648258	0d 02:02:0.00999999977648258	0.00102	0.00419	0.00050	4.09407	D	2.26676
127	1	5	0d 02:04:0.00999999977648258	0d 02:03:0.00999999977648258	0.00103	0.00422	0.00050	4.09377	D	2.26676
128	1	5	0d 02:05:0.00999999977648258	0d 02:04:0.00999999977648258	0.00103	0.00425	0.00050	4.09339	D	2.26676
129	1	5	0d 02:06:0.00999999977648258	0d 02:05:0.00999999977648258	0.00104	0.00429	0.00050	4.09308	D	2.26676
130	1	5	0d 02:07:0.00999999977648258	0d 02:06:0.00999999977648258	0.00105	0.00432	0.00050	4.09270	D	2.26676
131	1	5	0d 02:08:0.00999999977648258	0d 02:07:0.00999999977648258	0.00106	0.00436	0.00050	4.09232	D	2.26676
132	1	5	0d 02:09:0.00999999977648258	0d 02:08:0.00999999977648258	0.00107	0.00439	0.00050	4.09194	D	2.26676
133	1	5	0d 02:10:0.00999999977648258	0d 02:09:0.00999999977648258	0.00108	0.00442	0.00050	4.09163	D	2.26676
134	1	5	0d 02:11:0.00999999977648258	0d 02:10:0.00999999977648258	0.00108	0.00446	0.00050	4.09117	D	2.26676
135	1	5	0d 02:12:0.00999999977648258	0d 02:11:0.00999999977648258	0.00109	0.00449	0.00050	4.09079	D	2.26676
136	1	5	0d 02:13:0.00999999977648258	0d 02:12:0.00999999977648258	0.00110	0.00453	0.00050	4.09041	D	2.26676
137	1	5	0d 02:14:0.00999999977648258	0d 02:13:0.00999999977648258	0.00111	0.00456	0.00050	4.09026	D	2.26676
